State	y1920	y1960	y1980	y1990	y2000
AL	45.8	64.2	76.6	79.6	87.6
AK	0.1	0.4	0.7	1	1.1
AZ	2.9	11.5	23.9	32.3	45.2
AR	33.4	34.2	43.9	45.1	51.3
CA	22	100.4	151.4	190.8	217.1
CO	9.1	16.9	27.9	31.8	41.5
CT	286.4	520.6	637.8	678.4	702.9
DE	113.5	225.2	307.6	340.8	401.1
DC	7292.9	12523.9	10132.3	9882.8	9378
FL	17.7	91.5	180	239.6	296.4
GA	49.3	67.8	94.1	111.9	141.4
HI	39.9	98.5	150.1	172.5	188.6
ID	5.2	8.1	11.5	12.2	15.6
IL	115.7	180.4	205.3	205.6	223.4
IN	81.3	128.8	152.8	154.6	169.5
IA	43.2	49.2	52.1	49.7	52.4
KS	21.6	26.6	28.9	30.3	32.9
KY	60.1	76.2	92.3	92.8	101.7
LA	39.6	72.2	94.5	96.9	102.6
ME	25.7	31.3	36.3	39.8	41.3
MD	145.8	313.5	428.7	489.2	541.9
MA	479.2	657.3	733.3	767.6	809.8
MI	63.8	137.7	162.6	163.6	175
MN	29.5	43.1	51.2	55	61.8
MS	38.6	46	53.4	54.9	60.6
MO	49.5	62.6	71.3	74.3	81.2
MT	3.8	4.6	5.4	5.5	6.2
NE	16.9	18.4	20.5	20.5	22.3
NV	0.7	2.6	7.3	10.9	18.2
NH	49.1	67.2	102.4	123.7	137.8
NJ	420	805.5	986.2	1042	1138
NM	2.9	7.8	10.7	12.5	15
NY	217.9	350.6	370.6	381	401.9
NC	52.5	93.2	120.4	136.1	165.2
ND	9.2	9.1	9.4	9.3	9.3
OH	141.4	236.6	263.3	264.9	277.3
OK	29.2	33.8	44.1	45.8	50.3
OR	8.2	18.4	27.4	29.6	35.6
PA	194.5	251.4	264.3	265.1	274
RI	566.4	819.3	897.8	960.3	1003.2
SC	55.2	78.7	103.4	115.8	133.2
SD	8.3	9	9.1	9.2	9.9
TN	56.1	86.2	111.6	118.3	138
TX	17.8	36.4	54.3	64.9	79.6
UT	5.5	10.8	17.8	21	27.2
VT	38.6	42	55.2	60.8	65.8
VA	57.4	99.6	134.7	156.3	178.8
WA	20.3	42.8	62.1	73.1	88.6
WV	60.9	77.2	80.8	74.5	75.1
WI	47.6	72.6	86.5	90.1	98.8
WY	2	3.4	4.9	4.7	5.1
