attend	game
320	1
261	2
332	3
378	4
341	5
277	6
331	7
360	8
288	9
270	10
255	11
270	12
262	13
302	14
382	15
331	16
277	17
300	18
419	19
295	20
275	21
324	22
207	23
332	24
449	25
325	26
380	27
461	28
341	29
313	30
329	31
366	32
491	33
369	34
384	35
394	36
490	37
377	38
339	39
357	40
316	41
398	42
488	43
371	44
385	45
395	46
379	47
382	48
386	49
427	50
474	51
487	52
432	53
343	54
309	55
352	56
297	57
296	58
312	59
364	60
490	61
428	62
298	63
270	64
298	65
296	66
288	67
295	68
299	69
435	70
489	71
454	72
