Country	Region	1998_Count
Austria	Europe	610
Belgium	Europe	557
Czechoslovakia	Europe	931
Denmark	Europe	447
France	Europe	2961
Germany	Europe	6923
Greece	Europe	1183
Hangary	Europe	825
Ireland	Europe	907
Italy	Europe	1966
Netherlands	Europe	1036
Norway	Europe	327
Poland	Europe	8202
Portugal	Europe	1523
Romania	Europe	4833
Soviet_Union	Europe	28984
Spain	Europe	1185
Sweden	Europe	1017
Switzerland	Europe	1090
United_Kingdom	Europe	10170
Yugoslavia	Europe	7264
China	Asia	41034
Hong_Kong	Asia	7379
India	Asia	34288
Iran	Asia	4945
Israel	Asia	2546
Japan	Asia	5647
Korea	Asia	13671
Philippines	Asia	33176
Turkey	Asia	4016
Vietnam	Asia	16534
Canada	North_America	14295
Mexico	North_America	130661
Cuba	North_America	15415
Dominican_Republic	North_America	20267
Haiti	North_America	13316
Jamaica	North_America	14819
El_Salvador	North_America	14329
Argentina	South_America	1649
Colombia	South_America	11618
Ecuador	South_America	6840
